Date,Time,Item Name,Category,Size,Quantity,Order Status,Ingredients,Price,Datetime
2024-08-01 00:00:00,10:15:00,Mint Mojito,Drink,,1,,"Mint, Soda, Lime",48,2024-08-01 10:15:00
2024-08-01 00:00:00,11:00:00,OTC,Pizza,Medium,2,Cancelld,"Cheese, Onion, Tomato, Capsicum",255,2024-08-01 11:00:00
2024-08-01 00:00:00,12:00:00,Spicy Veggie,Pizza,,2,Done,"Cheese, Onion, Green Chili",99,2024-08-01 12:00:00
2024-08-01 00:00:00,12:00:00,Spicy Veggie,Pizza,,2,Done,"Cheese, Onion, Green Chili",99,2024-08-01 12:00:00
2024-08-01 00:00:00,12:00:00,Spicy Veggie,Pizza,,2,Done,"Cheese, Onion, Green Chili",99,2024-08-01 12:00:00
2024-08-01 00:00:00,15:30:00,OTC,Pizza,Medium,2,Cancelld,"Cheese, Onion, Tomato, Capsicum",255,2024-08-01 15:30:00
2024-08-01 00:00:00,15:30:00,OTC,Pizza,Medium,2,Cancelld,"Cheese, Onion, Tomato, Capsicum",255,2024-08-01 15:30:00
2024-08-01 00:00:00,17:00:00,Country Feast,Pizza,Medium,3,Done,"Cheese, Onion, Capsicum, Tomato, Mushroom, Sweet Corn",233,2024-08-01 17:00:00
2024-08-01 00:00:00,18:45:00,Country Feast,Pizza,Medium,3,Done,"Cheese, Onion, Capsicum, Tomato, Mushroom, Sweet Corn",233,2024-08-01 18:45:00
2024-08-01 00:00:00,18:45:00,Country Feast,Pizza,Medium,3,Done,"Cheese, Onion, Capsicum, Tomato, Mushroom, Sweet Corn",233,2024-08-01 18:45:00
2024-08-02 00:00:00,10:15:00,Oreo Shake,Shake,,2,Cancelld,"Milk, Oreo, Chocolate",262,2024-08-02 10:15:00
2024-08-02 00:00:00,18:00:00,Double Trouble,Burger,,3,Cancelld,"Double Patty, Cheese, Onion",180,2024-08-02 18:00:00
2024-08-02 00:00:00,18:00:00,Double Trouble,Burger,,3,Cancelld,"Double Patty, Cheese, Onion",180,2024-08-02 18:00:00
2024-08-02 00:00:00,18:00:00,Double Trouble,Burger,,3,Cancelld,"Double Patty, Cheese, Onion",180,2024-08-02 18:00:00
2024-08-02 00:00:00,18:30:00,Cheese Wrap,Garlic Bread,,2,,"Bread, Garlic, Cheese",276,2024-08-02 18:30:00
2024-08-02 00:00:00,21:00:00,Mix Sauc3 Pasta,Pasta,,,Completed,"Pasta, Red Sauce, White Sauce, Veggies",194,2024-08-02 21:00:00
2024-08-03 00:00:00,14:30:00,Vegetable Maggie,Maggie,,2,,"Maggie, Vegetables, Spices",,2024-08-03 14:30:00
2024-08-03 00:00:00,20:45:00,Strawberry Shake,Shake,,3,Done,"Milk, Strawberry Syrup",83,2024-08-03 20:45:00
2024-08-04 00:00:00,11:30:00,Sandwich,Burger,,1,Completed,Extra Cheese Slice,292,2024-08-04 11:30:00
2024-08-04 00:00:00,11:30:00,Sandwich,Burger,,1,Completed,Extra Cheese Slice,292,2024-08-04 11:30:00
2024-08-04 00:00:00,16:30:00,Margherita,Pizza,Medium,2,Cancelld,Classic Cheese,138,2024-08-04 16:30:00
2024-08-04 00:00:00,16:30:00,Chocolate Shake,Shake,,3,Pendng,"Milk, Chocolate Syrup",129,2024-08-04 16:30:00
2024-08-04 00:00:00,16:30:00,Margherita,Pizza,Medium,2,Cancelld,Classic Cheese,138,2024-08-04 16:30:00
2024-08-04 00:00:00,17:00:00,Margherita,Pizza,Medium,2,Cancelld,Classic Cheese,138,2024-08-04 17:00:00
2024-08-04 00:00:00,17:00:00,Sandwich,Burger,,1,Completed,Extra Cheese Slice,292,2024-08-04 17:00:00
2024-08-05 00:00:00,11:00:00,Veg Popular,Burger,,4,Pendng,"Veg Patty, Lettuce, Tomato",168,2024-08-05 11:00:00
2024-08-05 00:00:00,11:15:00,Whit3 Sauc3 Pasta,Pasta,,3,Done,"Pasta, White Sauce, Corn",70,2024-08-05 11:15:00
2024-08-05 00:00:00,17:00:00,Exotica,Pizza,Medium,1,,"Capsicum, Red Paprika, Jalapeno, Black Olives, Baby Corn",215,2024-08-05 17:00:00
2024-08-05 00:00:00,17:15:00,Exotica,Pizza,Medium,1,,"Capsicum, Red Paprika, Jalapeno, Black Olives, Baby Corn",215,2024-08-05 17:15:00
2024-08-05 00:00:00,17:15:00,Exotica,Pizza,Medium,1,,"Capsicum, Red Paprika, Jalapeno, Black Olives, Baby Corn",215,2024-08-05 17:15:00
2024-08-05 00:00:00,19:30:00,Veg Popular,Burger,,4,Pendng,"Veg Patty, Lettuce, Tomato",168,2024-08-05 19:30:00
2024-08-05 00:00:00,19:30:00,Veg Popular,Burger,,4,Pendng,"Veg Patty, Lettuce, Tomato",168,2024-08-05 19:30:00
